KraftwerkID;BlockID;Unternehmen;Kraftwerksname;PLZ;Ort;Straße und Hausnummer;Bundesland;Blockname;"Inbetriebnahme
(Jahr)";Status;Energieträger;"Vergütungsfähig nach EEG
(ja/nein)";"Wärmeauskopplung (KWK)
(ja/nein)";Netto-Nennleistung in MW;Bezeichnung Verknüpfungspunkt (Schaltanlage) mit dem Stromnetz der Allgemeinen Versorgung gemäß Netzbetreiber;Netz- oder Umspannebene des Anschlusses in kV;Name Stromnetzbetreiber
06-05-100-0248923;BNA1401a;RWE Power AG;BoA 2;41517;Grevenbroich;Energiestraße 101;Nordrhein-Westfalen;Neurath F;2012;in Betrieb;Braunkohle;nein;nein;1060.0;Rommerskirchen;380;Amprion GmbH
06-05-100-0248923;BNA1401b;RWE Power AG;BoA 3;41517;Grevenbroich;Energiestraße 101;Nordrhein-Westfalen;Neurath G;2012;in Betrieb;Braunkohle;nein;nein;1060.0;Rommerskirchen;380;Amprion GmbH
14-80-00009560000;BNA0115;Vattenfall Europe Generation AG;Lippendorf;4007;Böhlen;Werkstraße;Sachsen;R;2000;in Betrieb;Braunkohle;Nein;Ja;875.0;Pulgar;380;50Hertz Transmission GmbH
14-80-00009560000;BNA0116;EnBW Energie Baden-Württemberg AG;Braunkohlekraftwerk Lippendorf;4564;Böhlen;Werkstraße;Sachsen;LIP S;1999;in Betrieb;Braunkohle;Nein;Ja;875.0;Pulgar;380;50Hertz Transmission GmbH
06-05-700-0105516;BNA0793;Uniper Kraftwerke GmbH ;Heyden;32469;Petershagen;;Nordrhein-Westfalen;4;1987;in Betrieb;Steinkohle;Nein;Nein;875.0;Ovenstädt;380;TenneT TSO GmbH 
14-70-46630660001;BNA0124;Vattenfall Europe Generation AG;Boxberg;2945;Boxberg;Kraftwerksstraße;Sachsen;Q;2000;in Betrieb;Braunkohle;Nein;Ja;857.0;Bärwalde;380;50Hertz Transmission GmbH
06-08-2948214;BNA0646b;Grosskraftwerk Mannheim AG;GKM ;68199;Mannheim;Marguerrestraße 1;Baden-Württemberg;Block 9;2015;in Betrieb;Steinkohle;Nein;Ja;843.0;220 kV Schaltfelder GKM ;220;Transnet BW GmbH
06-08-2797933;BNA0518b;EnBW Energie Baden-Württemberg AG;Rheinhafen-Dampfkraftwerk;76189;Karlsruhe;Fettweisstraße 42;Baden-Württemberg;RDK 8;2014;in Betrieb;Steinkohle;Nein;Ja;842.0;Daxlanden;380;Transnet BW GmbH
06-02-BERZ003800;BNA1558;Vattenfall Kraftwerk Moorburg GmbH;Moorburg B;21079;Hamburg;;Hamburg;B;2015;in Betrieb;Steinkohle;Nein;Nein;800.0;;380;50Hertz Transmission GmbH
06-02-BERZ003800;BNA1673;Vattenfall Kraftwerk Moorburg GmbH;Moorburg A;21079;Hamburg;Moorburger Schanze 2;Hamburg;Moorburg A;2015;in Betrieb;Steinkohle;Nein;;800.0;;380;
06-05-500-0338944;BNA0493;RWE Generation SE;Ibbenbüren;49479;Ibbenbüren;;Nordrhein-Westfalen;B;1985;in Betrieb;Steinkohle;Nein;Ja;794.0;Westerkappeln;380;Amprion GmbH
06-08-1020129;BNA0434;EnBW Energie Baden-Württemberg AG;Heizkraftwerk Heilbronn;74076;Heilbronn;Lichtenbergerstraße 23;Baden-Württemberg;HLB 7;1985;in Betrieb;Steinkohle;Nein;Ja;778.0;Großgartach;380;Transnet BW GmbH
06-05-900-0079017;BNA0413b;RWE Generation SE;Westfalen;59071;Hamm-Uentrop;;Nordrhein-Westfalen;D;2014;Sonderfall;Steinkohle;Nein;Nein;765.0;Uentrop;380;Amprion GmbH
06-05-900-0079017;BNA0413c;RWE Generation SE;Westfalen;59071;Hamm-Uentrop;;Nordrhein-Westfalen;E;2014;in Betrieb;Steinkohle;Nein;Nein;764.0;Uentrop;380;Amprion GmbH
03-09-09281566110;BNA1061;Uniper Kraftwerke GmbH ;Wilhelmshaven;26386;Wilhelmshaven;;Niedersachsen;1;1976;in Betrieb;Steinkohle;Nein;Nein;757.0;Maade;220;TenneT TSO GmbH 
12-40716440000;BNA0914;Vattenfall Europe Generation AG;Schwarze Pumpe;3130;Spremberg;"An der alten
Ziegelei 1";Brandenburg;A;1997;in Betrieb;Braunkohle;Nein;Ja;750.0;Graustein;380;50Hertz Transmission GmbH
12-40716440000;BNA0915;Vattenfall Europe Generation AG;Schwarze Pumpe;3131;Spremberg;An der alten Ziegelei 1;Brandenburg;B;1998;in Betrieb;Braunkohle;Nein;Ja;750.0;Graustein;380;50Hertz Transmission GmbH
