06-08-34064722,Kraftwerk Grenzach-Wyhlen,Baden-Württemberg,Erdgas,Ja,2017,2017,30.0,in Betrieb,1,KGW - Kraftwerk Grenzach-Wyhlen GmbH
03-09-09000237910,Kraftwerk Wilhelmshaven,Niedersachsen,Steinkohle,Nein,2015,2015,731.0,in Betrieb,1,ENGIE Deutschland AG
06-02-BERZ003800,Moorburg B,Hamburg,Steinkohle,Ja,2015,2015,1600.0,in Betrieb,2,Vattenfall GmbH
14-70-51322590000,,Sachsen,Erdgas,Ja,2014,2014,36.0,in Betrieb,1,Sachsenmilch Leppersdorf GmbH
03-09-09261732970,,Niedersachsen,Erdgas,Ja,2014,2014,17.1,in Betrieb,1,Kronos Titan GmbH
06-90031210632,Hattorf,Hessen,Erdgas,Ja,2013,2013,52.0,in Betrieb,2,K+S AG
06-05-300-0838652,Heizkraftwerk Karlstraße,Nordrhein-Westfalen,Erdgas,Ja,2013,2013,95.0,in Betrieb,1,Energie- und Wasserversorgung Bonn/Rhein-Sieg GmbH
14-20-60319980000,HKW Freiberg,Sachsen,Erdgas,Ja,2013,2013,13.4,in Betrieb,1,Freiberger Erdgas GmbH
06-05-900-9141660,Trianel Kohlekraftwerk Lünen,Nordrhein-Westfalen,Steinkohle,Ja,2013,2013,735.0,in Betrieb,1,Trianel Kohlekraftwerk Lünen GmbH & Co. KG
03-03-03267770260,KWK AOS GmbH,Niedersachsen,Erdgas,Ja,2012,2012,30.7,in Betrieb,1,Aluminium Oxid Stade GmbH
06-09-100-0020-0001,Gasmotore,Bayern,Erdgas,Ja,2013,2011,19.0,in Betrieb,2,Stadtwerke Rosenheim GmbH & Co. KG
06-09-271-0260-0001,Kraftwerk Plattling,Bayern,Erdgas,Ja,2010,2010,118.5,in Betrieb,1,Daimler AG
06-09-100-0001-0002,Gemeinschaftskraftwerk Irsching ,Bayern,Erdgas,Nein,2011,2010,1407.0,Gesetzlich an Stilllegung gehindert,2,Uniper SE
06-90032200632,Wintershall,Hessen,Erdgas,Ja,2009,2009,69.0,in Betrieb,1,K+S AG
06-05-900-9140178,Trianel Gaskraftwerk ,Nordrhein-Westfalen,Erdgas,Nein,2008,2008,838.0,in Betrieb,2,Trianel Gaskraftwerk Hamm GmbH & Co. KG 
