BlockID,PLZ,Ort,Straße und Hausnummer (Standort Kraftwerk),Bundesland,Blockname
BNA1401a,41517,Grevenbroich,Energiestraße 101,Nordrhein-Westfalen,Neurath F
BNA1401b,41517,Grevenbroich,Energiestraße 101,Nordrhein-Westfalen,Neurath G
BNA0115,4007,Böhlen,Werkstraße,Sachsen,R
BNA0116,4564,Böhlen,Werkstraße,Sachsen,LIP S
BNA0793,32469,Petershagen,,Nordrhein-Westfalen,4
BNA0124,2945,Boxberg,Kraftwerksstraße,Sachsen,Q
BNA0646b,68199,Mannheim,Marguerrestraße 1,Baden-Württemberg,Block 9
BNA0518b,76189,Karlsruhe,Fettweisstraße 42,Baden-Württemberg,RDK 8
BNA1558,21079,Hamburg,,Hamburg,B
BNA1673,21079,Hamburg,Moorburger Schanze 2,Hamburg,Moorburg A
BNA0434,74076,Heilbronn,Lichtenbergerstraße 23,Baden-Württemberg,HLB 7
BNA0413b,59071,Hamm-Uentrop,,Nordrhein-Westfalen,D
BNA0413c,59071,Hamm-Uentrop,,Nordrhein-Westfalen,E
BNA1061,26386,Wilhelmshaven,,Niedersachsen,1
BNA0914,3130,Spremberg,"An der alten
Ziegelei 1",Brandenburg,A
BNA0915,3131,Spremberg,An der alten Ziegelei 1,Brandenburg,B
BNA1508,44536,Lünen,Frydagstr. 40,Nordrhein-Westfalen,
BNA1674,26386,Wilhelmshaven,Niedersachsendamm,Niedersachsen,Kraftwerk Wilhelmshaven
BNA0093,66450,Bexbach,Grubenstraße,Saarland,BEX
BNA0216b,47180,Duisburg,Dr. Wilhelm-Roelen-Str.129,Nordrhein-Westfalen,Walsum 10
BNA0067,59192,Bergkamen,,Nordrhein-Westfalen,A
BNA0991,46562,Voerde,Frankfurter Str 430,Nordrhein-Westfalen,Block A
BNA0992,46563,Voerde,Frankfurter Str 430,Nordrhein-Westfalen,Block B
BNA0335,45896,Gelsenkirchen,,Nordrhein-Westfalen,F
BNA0820,66287,Quierschied,Holzer Straße,Saarland,Weiher III
BNA0707,50129,Bergheim,,Nordrhein-Westfalen,H
BNA1404,2943,Boxberg,Kraftwerkstraße ,Sachsen,R
BNA0709,50129,Bergheim,,Nordrhein-Westfalen,K
BNA0708,50129,Bergheim,,Nordrhein-Westfalen,G
BNA1046a,59368,Werne,,Nordrhein-Westfalen,K2
BNA0699,41517,Grevenbroich-Neurath,,Nordrhein-Westfalen,D
BNA0700,41517,Grevenbroich-Neurath,,Nordrhein-Westfalen,E
BNA0849,18147,Rostock,Am Kühlturm 1,Mecklenburg-Vorpommern,Rostock
BNA0377,63538,Großkrotzenburg,,Hessen,5
BNA0518a,76189,Karlsruhe,Fettweisstraße 42,Baden-Württemberg,RDK 7
BNA0122,2943,Boxberg,Kraftwerksstraße,Sachsen,N
BNA0123,2944,Boxberg,Kraftwerksstraße,Sachsen,P
BNA0785,3185,Peitz,Kraftwerksstraße,Brandenburg,A
BNA0786,3185,Peitz,Kraftwerksstraße,Brandenburg,B
BNA0787,3185,Peitz,Kraftwerksstraße,Brandenburg,C
BNA0788,3185,Peitz,Kraftwerksstraße,Brandenburg,D
BNA0789,3185,Peitz,Kraftwerksstraße,Brandenburg,E
BNA0790,3185,Peitz,Kraftwerksstraße,Brandenburg,F
BNA0878,6258,Schkopau,,Sachsen-Anhalt,A
BNA0879,6258,Schkopau,,Sachsen-Anhalt,B
BNA0450,44655,Herne,Hertener Str. 16,Nordrhein-Westfalen,Herne 4
BNA0646a,68199,Mannheim,Marguerrestraße 1,Baden-Württemberg,Block 8
BNA0020,73776,Altbach,Industriestraße 11,Baden-Württemberg,ALT HKW 1
BNA0645,68199,Mannheim,Marguerrestraße 1,Baden-Württemberg,Block 7
BNA0216a,47180,Duisburg,Dr. Wilhelm-Roelen-Str.129,Nordrhein-Westfalen,Walsum 9
BNA0331,45896,Gelsenkirchen,,Nordrhein-Westfalen,C
BNA0332,45896,Gelsenkirchen,,Nordrhein-Westfalen,B
BNA0333,45896,Gelsenkirchen,,Nordrhein-Westfalen,D
BNA0334,45896,Gelsenkirchen,,Nordrhein-Westfalen,E
BNA0019,73776,Altbach,Industriestraße 11,Baden-Württemberg,ALT HKW 2 (DT Solobetrieb)
BNA0619,44537,Lünen,Moltkestr. 215,Nordrhein-Westfalen,Lünen 7
BNA0526,24149,Kiel,,Schleswig-Holstein,
BNA0990,46562,Voerde,Frankfurter Str. 430,Nordrhein-Westfalen,West 1
BNA0989,46563,Voerde,Frankfurter Str. 430,Nordrhein-Westfalen,West 2
BNA0146,28237,Bremen,Otavistr. 7-9,Bremen,Block 6
BNA0706,50129,Bergheim,,Nordrhein-Westfalen,F
BNA0705,50129,Bergheim,,Nordrhein-Westfalen,D
